stamp_id,prompt,action,A,B,C,D,E,sum of prob
261,"Scenario: Inside a living room, there are 6 humans in total. There are 3 humans in a group. The group has a radius of 0.68 meters. The robot is 2.32 meters away from the group. The closest human to the robot is 1.68 meters away from the robot. The robot is not facing the closest human. The closest human is not facing the robot. The second closest human to the robot is 1.86 meters away from the robot. The robot is not facing the second closest human. The second closest human is facing the robot. The third closest human to the robot is 2.56 meters away from the robot. The robot is not facing the third closest human. The third closest human is not facing the robot. There are 2 children present. The closest child to the robot is 1.86 meters away from the robot. There are no people sitting or laying in the sofa. There's no animal present. Music is currently not playing.
Question: Now a human evaluator is asked to rate how socially appropriate it is for the robot to vacuum clean within a circle with a radius of 2.21 meters surrounding itself in the described scenario. Answer choices: A. very inappropriate, B. inappropriate, C. neutral, D. appropriate, E. very appropriate. Which answer will the human evaluator choose?",Vacuum cleaning,0.14459459483623505,0.26558181643486023,0.26179131865501404,0.17694024741649628,0.14906778931617737,0.997975766658783
261,"Scenario: Inside a living room, there are 6 humans in total. There are 3 humans in a group. The group has a radius of 0.68 meters. The robot is 2.32 meters away from the group. The closest human to the robot is 1.68 meters away from the robot. The robot is not facing the closest human. The closest human is not facing the robot. The second closest human to the robot is 1.86 meters away from the robot. The robot is not facing the second closest human. The second closest human is facing the robot. The third closest human to the robot is 2.56 meters away from the robot. The robot is not facing the third closest human. The third closest human is not facing the robot. There are 2 children present. The closest child to the robot is 1.86 meters away from the robot. There are no people sitting or laying in the sofa. There's no animal present. Music is currently not playing.
Question: Now a human evaluator is asked to rate how socially appropriate it is for the robot to mop the floor within a circle with a radius of 2.21 meters surrounding itself in the described scenario. Answer choices: A. very inappropriate, B. inappropriate, C. neutral, D. appropriate, E. very appropriate. Which answer will the human evaluator choose?",Mopping the floor,0.16758278012275696,0.2821013927459717,0.25196531414985657,0.16039906442165375,0.1359269767999649,0.9979755282402039
261,"Scenario: Inside a living room, there are 6 humans in total. There are 3 humans in a group. The group has a radius of 0.68 meters. The robot is 2.32 meters away from the group. The closest human to the robot is 1.68 meters away from the robot. The robot is not facing the closest human. The closest human is not facing the robot. The second closest human to the robot is 1.86 meters away from the robot. The robot is not facing the second closest human. The second closest human is facing the robot. The third closest human to the robot is 2.56 meters away from the robot. The robot is not facing the third closest human. The third closest human is not facing the robot. There are 2 children present. The closest child to the robot is 1.86 meters away from the robot. There are no people sitting or laying in the sofa. There's no animal present. Music is currently not playing.
Question: Now a human evaluator is asked to rate how socially appropriate it is for the robot to carry warm food within a circle with a radius of 2.21 meters surrounding itself in the described scenario. Answer choices: A. very inappropriate, B. inappropriate, C. neutral, D. appropriate, E. very appropriate. Which answer will the human evaluator choose?",Carry warm food,0.1977214366197586,0.27303335070610046,0.23220935463905334,0.1356126368045807,0.15931686758995056,0.9978936463594437
261,"Scenario: Inside a living room, there are 6 humans in total. There are 3 humans in a group. The group has a radius of 0.68 meters. The robot is 2.32 meters away from the group. The closest human to the robot is 1.68 meters away from the robot. The robot is not facing the closest human. The closest human is not facing the robot. The second closest human to the robot is 1.86 meters away from the robot. The robot is not facing the second closest human. The second closest human is facing the robot. The third closest human to the robot is 2.56 meters away from the robot. The robot is not facing the third closest human. The third closest human is not facing the robot. There are 2 children present. The closest child to the robot is 1.86 meters away from the robot. There are no people sitting or laying in the sofa. There's no animal present. Music is currently not playing.
Question: Now a human evaluator is asked to rate how socially appropriate it is for the robot to carry cold food within a circle with a radius of 2.21 meters surrounding itself in the described scenario. Answer choices: A. very inappropriate, B. inappropriate, C. neutral, D. appropriate, E. very appropriate. Which answer will the human evaluator choose?",Carry cold food,0.17438384890556335,0.2728929817676544,0.26127123832702637,0.1434631496667862,0.1459360122680664,0.9979472309350967
261,"Scenario: Inside a living room, there are 6 humans in total. There are 3 humans in a group. The group has a radius of 0.68 meters. The robot is 2.32 meters away from the group. The closest human to the robot is 1.68 meters away from the robot. The robot is not facing the closest human. The closest human is not facing the robot. The second closest human to the robot is 1.86 meters away from the robot. The robot is not facing the second closest human. The second closest human is facing the robot. The third closest human to the robot is 2.56 meters away from the robot. The robot is not facing the third closest human. The third closest human is not facing the robot. There are 2 children present. The closest child to the robot is 1.86 meters away from the robot. There are no people sitting or laying in the sofa. There's no animal present. Music is currently not playing.
Question: Now a human evaluator is asked to rate how socially appropriate it is for the robot to carry drinks within a circle with a radius of 2.21 meters surrounding itself in the described scenario. Answer choices: A. very inappropriate, B. inappropriate, C. neutral, D. appropriate, E. very appropriate. Which answer will the human evaluator choose?",Carry drinks,0.14069773256778717,0.2544688284397125,0.25597721338272095,0.18922126293182373,0.15764328837394714,0.9980083256959915
261,"Scenario: Inside a living room, there are 6 humans in total. There are 3 humans in a group. The group has a radius of 0.68 meters. The robot is 2.32 meters away from the group. The closest human to the robot is 1.68 meters away from the robot. The robot is not facing the closest human. The closest human is not facing the robot. The second closest human to the robot is 1.86 meters away from the robot. The robot is not facing the second closest human. The second closest human is facing the robot. The third closest human to the robot is 2.56 meters away from the robot. The robot is not facing the third closest human. The third closest human is not facing the robot. There are 2 children present. The closest child to the robot is 1.86 meters away from the robot. There are no people sitting or laying in the sofa. There's no animal present. Music is currently not playing.
Question: Now a human evaluator is asked to rate how socially appropriate it is for the robot to carry small objects (plates, toys) within a circle with a radius of 2.21 meters surrounding itself in the described scenario. Answer choices: A. very inappropriate, B. inappropriate, C. neutral, D. appropriate, E. very appropriate. Which answer will the human evaluator choose?","Carry small objects (plates, toys)",0.09070409834384918,0.19695231318473816,0.31021976470947266,0.22122210264205933,0.1789170503616333,0.9980153292417526
261,"Scenario: Inside a living room, there are 6 humans in total. There are 3 humans in a group. The group has a radius of 0.68 meters. The robot is 2.32 meters away from the group. The closest human to the robot is 1.68 meters away from the robot. The robot is not facing the closest human. The closest human is not facing the robot. The second closest human to the robot is 1.86 meters away from the robot. The robot is not facing the second closest human. The second closest human is facing the robot. The third closest human to the robot is 2.56 meters away from the robot. The robot is not facing the third closest human. The third closest human is not facing the robot. There are 2 children present. The closest child to the robot is 1.86 meters away from the robot. There are no people sitting or laying in the sofa. There's no animal present. Music is currently not playing.
Question: Now a human evaluator is asked to rate how socially appropriate it is for the robot to carry big objects (tables, chairs) within a circle with a radius of 2.21 meters surrounding itself in the described scenario. Answer choices: A. very inappropriate, B. inappropriate, C. neutral, D. appropriate, E. very appropriate. Which answer will the human evaluator choose?","Carry big objects (tables, chairs)",0.1745866984128952,0.2982523441314697,0.27875185012817383,0.1416427493095398,0.10469724237918854,0.9979308843612671
261,"Scenario: Inside a living room, there are 6 humans in total. There are 3 humans in a group. The group has a radius of 0.68 meters. The robot is 2.32 meters away from the group. The closest human to the robot is 1.68 meters away from the robot. The robot is not facing the closest human. The closest human is not facing the robot. The second closest human to the robot is 1.86 meters away from the robot. The robot is not facing the second closest human. The second closest human is facing the robot. The third closest human to the robot is 2.56 meters away from the robot. The robot is not facing the third closest human. The third closest human is not facing the robot. There are 2 children present. The closest child to the robot is 1.86 meters away from the robot. There are no people sitting or laying in the sofa. There's no animal present. Music is currently not playing.
Question: Now a human evaluator is asked to rate how socially appropriate it is for the robot to clean (pick up stuff) within a circle with a radius of 2.21 meters surrounding itself in the described scenario. Answer choices: A. very inappropriate, B. inappropriate, C. neutral, D. appropriate, E. very appropriate. Which answer will the human evaluator choose?",Cleaning (Picking up stuff) / Starting conversation,0.10782969743013382,0.2152625471353531,0.26883167028427124,0.20413373410701752,0.20183885097503662,0.9978964999318123
271,"Scenario: Inside a living room, there are 4 humans in total. There are 3 humans in a group. The group has a radius of 0.98 meters. The robot is 2.82 meters away from the group. The robot is facing the group. The closest human to the robot is 1.88 meters away from the robot. The robot is facing the closest human. The closest human is not facing the robot. The second closest human to the robot is 1.90 meters away from the robot. The robot is not facing the second closest human. The second closest human is facing the robot. The third closest human to the robot is 3.23 meters away from the robot. The robot is facing the third closest human. The third closest human is not facing the robot. There are no people sitting or laying in the sofa. There's also an animal in the room. The animal is 2.64 meters away from the robot. Music is currently not playing.
Question: Now a human evaluator is asked to rate how socially appropriate it is for the robot to vacuum clean towards the direction the robot is facing in the described scenario. Answer choices: A. very inappropriate, B. inappropriate, C. neutral, D. appropriate, E. very appropriate. Which answer will the human evaluator choose?",Vacuum cleaning,0.07499318569898605,0.17777308821678162,0.25033777952194214,0.22976088523864746,0.26497703790664673,0.997841976583004
271,"Scenario: Inside a living room, there are 4 humans in total. There are 3 humans in a group. The group has a radius of 0.98 meters. The robot is 2.82 meters away from the group. The robot is facing the group. The closest human to the robot is 1.88 meters away from the robot. The robot is facing the closest human. The closest human is not facing the robot. The second closest human to the robot is 1.90 meters away from the robot. The robot is not facing the second closest human. The second closest human is facing the robot. The third closest human to the robot is 3.23 meters away from the robot. The robot is facing the third closest human. The third closest human is not facing the robot. There are no people sitting or laying in the sofa. There's also an animal in the room. The animal is 2.64 meters away from the robot. Music is currently not playing.
Question: Now a human evaluator is asked to rate how socially appropriate it is for the robot to mop the floor towards the direction the robot is facing in the described scenario. Answer choices: A. very inappropriate, B. inappropriate, C. neutral, D. appropriate, E. very appropriate. Which answer will the human evaluator choose?",Mopping the floor,0.12475154548883438,0.24661698937416077,0.22553853690624237,0.19257527589797974,0.20838114619255066,0.9978634938597679
